Category,Foods,Serving Size (Estimation),✓MIND,✓Mediterranean,✓DASH,✓Microbiome-supporting,✓ Anti-inflammatory,DII Score,Caution: Contextual Inflammation Risk,Contextually Pro-inflammatory?
GREEN LEAFY VEGETABLES,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """
Green Leafy Vegetables,arugula,1 cup raw / ½ cup cooked (1 handful),✓,✓,✓,✓,✓,-0.6,""" """,""" """
Green Leafy Vegetables,collard greens,1 cup raw / ½ cup cooked (1 handful),✓,✓,✓,✓,✓,-1.5,""" """,""" """
Green Leafy Vegetables,kale,1 cup raw / ½ cup cooked (1 handful),✓,✓,✓,✓,✓,-1.5,""" """,""" """
Green Leafy Vegetables,mustard greens,1 cup raw / ½ cup cooked (1 handful),✓,✓,✓,✓,✓,-1.5,""" """,""" """
Green Leafy Vegetables,romaine,1 cup raw / ½ cup cooked (1 handful),✓,""" """,✓,""" """,""" """,-1.2,""" """,""" """
Green Leafy Vegetables,spinach,1 cup raw / ½ cup cooked (1 handful),✓,✓,✓,✓,✓,-1.5,""" """,""" """
Green Leafy Vegetables,swiss chard,1 cup raw / ½ cup cooked (1 handful),✓,✓,✓,✓,✓,0.8,High saturated fat; context-dependent,""" """
CRUCIFEROUS VEGETABLES,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """
Vegetables,broccoli,½ cup cooked / 1 cup raw (baseball size),✓,✓,✓,✓,✓,-1.5,""" """,""" """
Vegetables,brussel sprouts,½ cup cooked / 1 cup raw (baseball size),✓,✓,✓,""" """,✓,-0.6,""" """,""" """
Vegetables,cabbage,✓,✓,✓,✓,-0.6,✓,""" """,""" """,""" """
Vegetables,cauliflower,½ cup cooked / 1 cup raw (baseball size),✓,✓,✓,""" """,✓,-0.6,""" """,""" """
NIGHTSHADE VEGETABLES,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """
