Category,Foods,Serving Size (Estimation),Calories,Key Nutrients/Bioactive Compounds,Mechanism/Function,Notable Sources/Details
GREEN LEAFY VEGETABLES,"
","
",,"Vitamin K (phylloquinone), lutein, folate, nitrate, ?-tocopherol, kaempferol, ?-carotene","Antioxidant, anti-inflammatory, improves vascular and cognitive function","High in iron, calcium, folic acid, fiber"
Green Leafy Vegetables,Arugula,1 cup raw / ½ cup cooked (1 handful),5,"
","
","
"
Green Leafy Vegetables,Collard Greens,1 cup raw / ½ cup cooked (1 handful),25,"
","
","
"
Green Leafy Vegetables,Kale,1 cup raw / ½ cup cooked (1 handful),35,"
","
","
"
Green Leafy Vegetables,Mustard Greens,1 cup raw / ½ cup cooked (1 handful),10,"
","
","
"
Green Leafy Vegetables,Romaine,1 cup raw / ½ cup cooked (1 handful),8,"
","
","
"
Green Leafy Vegetables,Spinach,1 cup raw / ½ cup cooked (1 handful),7,"
","
","
"
Green Leafy Vegetables,Swiss Chard,1 cup raw / ½ cup cooked (1 handful),18,"
","
","
"
CRUCIFEROUS VEGETABLES,"
","
",,"Glucosinolates, S-methyl cysteine sulfoxide, phenolic compounds, dietary fiber","Anti-inflammatory, May reduce oxidative stress and support vascular health, indirectly benefiting cognition","
"
Vegetables,Broccoli,½ cup cooked / 1 cup raw (baseball size),27,"
","
","
"
Vegetables,Brussel Sprouts,½ cup cooked / 1 cup raw (baseball size),28,"
","
","
"
Vegetables,Cabbage,½ cup cooked / 1 cup raw (baseball size),17,"
","
","
"
Vegetables,Cauliflower,½ cup cooked / 1 cup raw (baseball size),14,"
","
","
"
NIGHTSHADE VEGETABLES,"
","
",,"Vitamins (C, A), minerals, fiber, phytochemicals","
","
"
Vegetables,Bell Peppers,½ cup cooked / 1 cup raw (baseball size),25,"
","
","
"
Vegetables,Chili Peppers,½ cup cooked / 1 cup raw (baseball size),18,"
","
","
"
Vegetables,Eggplant,½ cup cooked / 1 cup raw (baseball size),20,"
","
","
"
Vegetables,Tomatoes,½ cup cooked / 1 cup raw (baseball size),25,"
","
","
"
ROOT VEGETABLES,"
","
",,"Carotenoids, Polyphenols/Phenolics, Flavonoids, Glucosinolates, Glucosinolates, Vit C, Fiber, Minerals (K, Ca, Mg)","Microbiome; Memory, neurological health, neuroprotection; Antioxidant, anti-inflammatory","
"
Vegetables,Beets,½ cup cooked / 1 cup raw (baseball size),35,"nitrates, betalains (antioxidants), fiber, and folate","Potential improved blood flow, cognitive support; Vascular and antioxidant effects","
"
Vegetables,Carrots,½ cup cooked / 1 cup raw (baseball size),25,"carotenoids (?- and ?-carotene), phenolics, polyacetylenes, ascorbic acid (vitamin C), and fiber. Different colored carrots provide lutein, lycopene, anthocyanins, and phenolic compounds","Improved cognition, slower decline; Antioxidant, anti-inflammatory effects","?/?-carotene (orange), lutein"
Vegetables,Sweet Potatoes,1 Medium,90,"Carotenoids, anthocyanins, fiber","Memory, neurological health, neuroprotection; Antioxidant, anti-inflammatory","
"
OTHER VEGETABLES,"
","
",,"
","
","
"
Other Vegetable,Artichokes,1 cup raw / ½ cup cooked (1 handful),60,"Fiber, vitamins, minerals, phenolic compounds","Antioxidant, digestive health, cardiovascular benefits",High in fiber and antioxidants
Other Vegetable,Asparagus,1 cup raw / ½ cup cooked (1 handful),20,"Folate, fiber, vitamins (C, K), minerals","Antioxidant, cardiovascular health, supports pregnancy",High folate content
Other Vegetable,Celery,1 Medium stalk,6,"Fiber, vitamins (K, C), minerals, phytochemicals","Antioxidant, cardiovascular health, anti-inflammatory",Contains essential elements and fiber
Other Vegetables (technically Fruit),Cucumber,1 Medium,8,"Water, fiber, vitamins (K, C), minerals, phytochemicals","Hydration, antioxidant, digestive health","Low calorie, high water content"
Other Vegetable,Onions,1 cup raw / ½ cup cooked (1 handful),30,"Vitamins (C, B6), minerals, flavonoids, sulfur compounds","Antioxidant, cardiovascular health, anti-inflammatory",Rich in phytochemicals
Other Vegetables (technically Fruit),Zucchini,½ cup cooked / 1 cup raw (baseball size),20,"hydration, vitamin C, some carotenoids, and fiber","Antioxidant, digestive health, low calorie",Contains carotenoids and fiber
FERMENTED VEGETABLES,,,,,,
Fermented Vegetable,Kimchi,100g,15-20,"Lactic acid, phenolics, GABA, probiotics","Antioxidant, anti-inflammatory, gut microbiota modulation","Salted and fermented vegetables, most commonly napa cabbage; rich in lactic acid bacteria"
Fermented Vegetable,Sauerkraut,100g,15-20,"Vitamin C, K, B6, folate, phenolics, lactic acid bacteria","Antioxidant, anti-inflammatory, gut microbiota modulation","Fermented cabbage, rich in lactic acid bacteria"
CORN,"
",1 cup,,"complex carbohydrates, fiber, some carotenoids (lutein, zeaxanthin), and B vitamins","Fiber and micronutrients may support vascular and metabolic health, indirectly benefiting cognition","
"
Whole food corn,Cornmeal (whole grain),"
",110,"
","
","
"
Whole food corn,Blue Corn,"
",90,"
","
","
"
Whole food corn,Sweet Corn,"
",75,"
","
","
"
Whole food corn,"Grits (whole grain, cooked)","
",70,"
","
","
"
Whole food corn,Heirloom Corn,"
",90,"
","
","
"
Whole food corn,Hominy Corn,"
",60,"
","
","
"
Whole food corn,Purple Corn,"
",90,"
","
","
"
Whole food corn,Polenta (cooked),"
",80,"
","
","
"
VEGETABLES/LEGUMES,"
","
",,"Protein, fiber, complex carbs, vitamins (B, C), minerals, polyphenols, flavonoids, saponins, isoflavones, essential fatty acids","Antioxidant, anti-inflammatory, heart health, diabetes prevention, weight control","High protein (20–35%), low fat, rich in bioactives"
Legumes,Chickpeas,½ cup cooked (small fist),135,"Protein, fiber, minerals, B vitamins, polyphenols","Heart health, diabetes prevention, digestive health","Good protein/fiber, low fat, rich in minerals"
Legumes,Edamame,½ cup cooked (small fist),95,"Protein, isoflavones, B vitamins, minerals","Heart health, hormone balance, antioxidant","Derived from soybeans, retains isoflavones"
Legumes,Green Peas,½ cup cooked (small fist),60,"Protein, fiber, complex carbs, flavonoids, minerals","Antioxidant, digestive health, low glycemic index","Unique flavonoids, high fiber"
Legumes,Lentils,½ cup cooked (small fist),115,"Protein, fiber, B vitamins, minerals, carotenoids, polyphenols","Heart health, diabetes prevention, antioxidant","High carotenoids, minerals, fiber"
Legumes,Lupins,½ cup cooked (small fist),95,"Protein, fiber, minerals, B vitamins, polyphenols","Heart health, diabetes prevention, antioxidant","High protein (>30%), minerals"
Legumes,Miso,½ cup cooked (small fist),35,"Protein, isoflavones, vitamin K2, peptides, probiotics","Heart health, bone health, antioxidant","Fermented soy, high vitamin K"
Legumes,Natto,½ cup cooked (small fist),95,"Protein, isoflavones, fiber, minerals, peptides, probiotics","Gut health, antioxidant, anti-inflammatory","Fermented soy, enhanced bioactives"
Legumes,Peanuts,½ cup cooked (small fist),160,"Protein, healthy fats, fiber, polyphenols, resveratrol","Heart health, antioxidant, anti-inflammatory",Rich in healthy fats and polyphenols
Legumes,Soybeans,½ cup cooked (small fist),150,"Protein, isoflavones, fiber, tocopherols, minerals, saponins, polyunsaturated fats","Antioxidant, hormone balance, heart health","Highest protein/fat, rich in isoflavones"
