Foods,Protein_per_Serving_(g)
Adzuki Beans,8
Algae Oil,0
Almond Milk,1
Almonds,6
Amaranth,4.7
Anchovies,6.6
Apple Cider Vinegar,0
Apples,0.5
Artichokes,4.2
Arugula,0.5
Asiago Cheese,8
Asparagus,2.2
"Avocado Oil (Cold-pressed, expeller-pressed)",0
Avocados,3
Baked Chickpea Snacks,5
Balsamic Vinegar,0
Barley,2.3
Beet Pasta,7
Beets,1.3
Bell Peppers,1
Bilberries (Dried),0.3
Black Beans,7.6
Black currants (Dried),1
Blackberries,1
Blue Cheese,6
Blue Corn,2
Blueberries,0.5
Brazil Nuts,4
Brie Cheese,6
Broccoli,2.4
Brown Rice,2.5
Brown Rice Pasta,5
Brussel Sprouts,2
Buckwheat (Soba) Noodles,6
Cabbage,1
Cacao,1
Camellia Oil,0
Camembert Cheese,5
Canola/Rapeseed Oil,0
Capers,0.2
Capsaicin,0.3
Carrots,0.6
Cashews,5
Cauliflower,1.1
Celery,0.3
Cheddar Cheese,7
Cherries,0.5
Chia Seeds,4.7
Chicken Breast,26
Chickpea Pasta,13
Chickpeas,7.3
Chili Peppers,0.2
Cinnamon,0.1
Coffee,0.3
Collard Greens,2.5
Cornmeal (whole grain),2
Cottage Cheese,14
Cow Liver,22
Cranberries,0.1
Cranberries (Dried),0.1
Cucumber,0.3
Curcumin,0
Dates,1.8
Edam Cheese,7
Edamame,9
Eggplant,0.4
Eggs,6.3
Farro,3.5
Feta Cheese,4
Figs,0.5
Flaxseed Oil,0
Flaxseeds,1.3
Flounder,21
Garlic,0.2
Golgi Berries,4
Gooseberries,0.9
Gooseberries (Dried),1
Gouda Cheese,7
Grapefruit,0.9
Grapes,0.3
Green Peas,4
Green Tea,0
"Grits (whole grain, cooked)",2
Gruyère Cheese,8.5
Hazelnuts,4.2
Heirloom Corn,2
Herring,20
Hominy Corn,2
Honey,0
Kale,2.5
Kefir,9
Kidney Beans,7.7
Kimchi,2
Kiwis,0.8
Kombucha,0.3
Lamb,23
Lemon,0.3
Lentil Pasta,12
Lentils,9
Limburger Cheese,6.8
Liver,22
Low-fat Milk,8
Lupins,12
Macadamia Nuts,2.2
Mackerel,21
Millet,3
Miso,2
Mozzarella Cheese (if fermented),6.3
Mulberries,1.4
Mulberries (Dried),2.5
Mung Beans,7
Mushrooms,1
Mustard Greens,1.6
Natto,15
Navy Beans,8.2
Oat-based Bars,3
Oats/Oat Groats/Steel Cut/Rolled,2.5
Olive Oil (Extra Virgin -Cold-pressed),0
Olives,0.3
Onions,0.6
Onions,1
Orange,1.2
Paprika,0.1
Parmesan Cheese,10
Passion Fruit,
Peanuts,7
Pecans,2.5
Peony Oil,0
Pinto Beans,7
Pistachios,5.9
Plums,0.5
Polenta (cooked),2
Pomegranate Seed Oil,0
Pork,22
Provolone Cheese,7.2
Prunes,0.9
Prunes,0.5
Pumpkin,1
Pumpkin Seeds,7
Purple Corn,2
Quinoa,4
Quinoa Pasta,8
Raisins,0.5
Raspberries,0.7
Roasted Edamame,13
Romaine,0.6
Romano Cheese,9
Rosemary,0.1
Safflower Oil,0
Sage,0.1
Salmon,22
Sardines,22.7
Sauerkraut,1
Sea Bass,22
Seaweed,0.3
Seaweed Snacks,1
Semolina Pasta,7
Sesame Oil,0
Sesame Seeds,1.6
Sourdough Pasta ,7
Soy Milk,7
Soybean Oil,0
Soybeans,14
Spelt Pasta,7.5
Spinach,5.4
Spinach Pasta,7
Split Peas,8
Strawberries,0.5
Sturgeon,22
Sunflower Oil,0
Sunflower Seeds,5.8
Sweet Corn,2
Sweet Potatoes,2
Swiss Chard,1.8
Swiss Cheese,8
Tempeh,17
Tilsit Cheese,6.5
Tofu,10
Tomatoes,1
Trout,20
Turkey,25
Walnut Oil,0
Walnuts,4.3
Wasabi,0.1
Watermelon,1
Wheat Germ Fortified Pasta,7
Whole Grain (Bread),3
Whole Grain Pasta (non-wheat options),7
Whole Grain Seed Crackers,3
Whole Wheat,3.6
Whole Wheat Pasta,7.5
Yellow Catfish,20
Yogurt (Fermented),9
Zucchini,1
